F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,Resampling
0.7041,0.6965,0.715,0.7263,DT,401,Max-absoluteScaler,True,True
0.7041,0.6963,0.715,0.7263,DT,401,RobustScaler,True,True
0.7022,0.6994,0.7083,0.7264,DT,401,PowerTransformer,True,True
0.7022,0.6939,0.7137,0.7244,DT,401,QuantileTransformer_Uniform,True,True
0.7032,0.6946,0.7154,0.7251,DT,401,QuantileTransformer_Normal,True,True
0.5093,0.6545,0.5101,0.5336,R,401,,True,True
0.7097,0.7322,0.6908,0.7421,R,401,StandardScaler,True,True
0.7511,0.739,0.7667,0.7682,R,401,Min-maxScaler,True,True
0.7448,0.744,0.7483,0.7661,R,401,Max-absoluteScaler,True,True
0.6815,0.7234,0.6474,0.7244,R,401,RobustScaler,True,True
0.734,0.7224,0.7496,0.7519,R,401,PowerTransformer,True,True
0.7788,0.7691,0.7916,0.7946,R,401,QuantileTransformer_Uniform,True,True
0.7107,0.69,0.7362,0.7262,R,401,QuantileTransformer_Normal,True,True
0.7706,0.7776,0.7662,0.7922,XG,401,,True,True
0.7703,0.7776,0.7658,0.792,XG,401,StandardScaler,True,True
0.7706,0.7776,0.7662,0.7922,XG,401,Min-maxScaler,True,True
0.7706,0.7776,0.7662,0.7922,XG,401,Max-absoluteScaler,True,True
0.7706,0.7776,0.7662,0.7922,XG,401,RobustScaler,True,True
0.7706,0.7776,0.7662,0.7922,XG,401,PowerTransformer,True,True
0.7711,0.7795,0.7654,0.793,XG,401,QuantileTransformer_Uniform,True,True
0.7711,0.7795,0.7654,0.793,XG,401,QuantileTransformer_Normal,True,True
0.0,0.0,0.0,0.5435,GPC,401,,True,True
0.679,0.6861,0.6742,0.7091,GPC,401,StandardScaler,True,True
0.7581,0.7426,0.7766,0.7742,GPC,401,Min-maxScaler,True,True
0.7562,0.7456,0.77,0.7739,GPC,401,Max-absoluteScaler,True,True
0.612,0.6615,0.5721,0.6693,GPC,401,RobustScaler,True,True
0.7192,0.6861,0.7579,0.73,GPC,401,PowerTransformer,True,True
0.7595,0.7043,0.8254,0.7614,GPC,401,QuantileTransformer_Uniform,True,True
0.7135,0.6813,0.7512,0.7241,GPC,401,QuantileTransformer_Normal,True,True
0.7577,0.745,0.7737,0.7744,ADA,401,,True,True
0.7575,0.7449,0.7733,0.7742,ADA,401,StandardScaler,True,True
0.7576,0.7451,0.7733,0.7744,ADA,401,Min-maxScaler,True,True
0.7578,0.7452,0.7737,0.7746,ADA,401,Max-absoluteScaler,True,True
0.7577,0.745,0.7737,0.7744,ADA,401,RobustScaler,True,True
0.7574,0.7448,0.7733,0.7742,ADA,401,PowerTransformer,True,True
0.7581,0.7456,0.7737,0.7748,ADA,401,QuantileTransformer_Uniform,True,True
0.758,0.7456,0.7737,0.7748,ADA,401,QuantileTransformer_Normal,True,True
0.769,0.7749,0.7654,0.7903,GB,401,,True,True
0.7687,0.7742,0.7654,0.7899,GB,401,StandardScaler,True,True
0.769,0.7754,0.765,0.7905,GB,401,Min-maxScaler,True,True
0.769,0.7754,0.765,0.7904,GB,401,Max-absoluteScaler,True,True
0.7685,0.7744,0.765,0.7899,GB,401,RobustScaler,True,True
0.7684,0.7741,0.765,0.7899,GB,401,PowerTransformer,True,True
0.7691,0.7746,0.7658,0.7903,GB,401,QuantileTransformer_Uniform,True,True
0.7695,0.7746,0.7666,0.7905,GB,401,QuantileTransformer_Normal,True,True
