F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,resampling
0.7052,0.706,0.7083,0.7301,DT,495,,True,False
0.7058,0.7066,0.7087,0.7307,DT,495,StandardScaler,True,False
0.7052,0.7058,0.7083,0.7301,DT,495,Min-maxScaler,True,False
0.7054,0.7063,0.7083,0.7303,DT,495,Max-absoluteScaler,True,False
0.7051,0.7059,0.7079,0.7301,DT,495,RobustScaler,True,False
0.7015,0.7018,0.7038,0.7272,DT,495,PowerTransformer,True,False
0.7065,0.7071,0.7096,0.7312,DT,495,QuantileTransformer_Uniform,True,False
0.7058,0.7067,0.7088,0.7306,DT,495,QuantileTransformer_Normal,True,False
0.5092,0.648,0.5025,0.5434,R,495,,True,False
0.712,0.7583,0.6734,0.7515,R,495,StandardScaler,True,False
0.7427,0.767,0.7228,0.772,R,495,Min-maxScaler,True,False
0.7325,0.7692,0.702,0.7668,R,495,Max-absoluteScaler,True,False
0.6818,0.7464,0.6305,0.732,R,495,RobustScaler,True,False
0.7318,0.73,0.7366,0.7535,R,495,PowerTransformer,True,False
0.7759,0.7754,0.7791,0.7946,R,495,QuantileTransformer_Uniform,True,False
0.7069,0.6981,0.72,0.7277,R,495,QuantileTransformer_Normal,True,False
0.7684,0.7817,0.7583,0.7914,XG,495,,True,False
0.7681,0.7816,0.7579,0.7912,XG,495,StandardScaler,True,False
0.7679,0.7815,0.7575,0.791,XG,495,Min-maxScaler,True,False
0.7679,0.7815,0.7575,0.791,XG,495,Max-absoluteScaler,True,False
0.7684,0.7817,0.7583,0.7914,XG,495,RobustScaler,True,False
0.7684,0.7817,0.7583,0.7914,XG,495,PowerTransformer,True,False
0.7687,0.7827,0.7579,0.7917,XG,495,QuantileTransformer_Uniform,True,False
0.7687,0.7827,0.7579,0.7917,XG,495,QuantileTransformer_Normal,True,False
0.0,0.0,0.0,0.5435,GPC,495,,True,False
0.6801,0.6915,0.6713,0.7118,GPC,495,StandardScaler,True,False
0.7504,0.7653,0.7383,0.7764,GPC,495,Min-maxScaler,True,False
0.7482,0.7718,0.7292,0.7767,GPC,495,Max-absoluteScaler,True,False
0.6061,0.6605,0.5629,0.6666,GPC,495,RobustScaler,True,False
0.7204,0.6898,0.7567,0.7319,GPC,495,PowerTransformer,True,False
0.7631,0.7155,0.8187,0.768,GPC,495,QuantileTransformer_Uniform,True,False
0.7105,0.6796,0.7467,0.7219,GPC,495,QuantileTransformer_Normal,True,False
0.7477,0.7446,0.755,0.7685,ADA,495,,True,False
0.7476,0.7443,0.755,0.7683,ADA,495,StandardScaler,True,False
0.7477,0.7446,0.755,0.7685,ADA,495,Min-maxScaler,True,False
0.7476,0.7443,0.755,0.7683,ADA,495,Max-absoluteScaler,True,False
0.7477,0.7446,0.755,0.7685,ADA,495,RobustScaler,True,False
0.748,0.7442,0.7558,0.7685,ADA,495,PowerTransformer,True,False
0.7479,0.7444,0.7554,0.7685,ADA,495,QuantileTransformer_Uniform,True,False
0.748,0.7447,0.7554,0.7687,ADA,495,QuantileTransformer_Normal,True,False
0.774,0.7815,0.7692,0.7953,GB,495,,True,False
0.7736,0.7808,0.7692,0.7949,GB,495,StandardScaler,True,False
0.7738,0.7812,0.7692,0.7951,GB,495,Min-maxScaler,True,False
0.7738,0.7812,0.7692,0.7951,GB,495,Max-absoluteScaler,True,False
0.7734,0.7808,0.7688,0.7947,GB,495,RobustScaler,True,False
0.7716,0.7769,0.7692,0.7926,GB,495,PowerTransformer,True,False
0.773,0.7809,0.768,0.7945,GB,495,QuantileTransformer_Uniform,True,False
0.7727,0.779,0.7692,0.7937,GB,495,QuantileTransformer_Normal,True,False
